year,month,product,weighted_avg_price,date,prev_month_price,monthly_change,prev_year_price,yearly_change,ma_3,ma_6,ma_12,volatility
2023,4,배,1519.1984241186012,2023-04-01,1552.921355835881,-0.02171580137690099,2200.0230259359496,-0.30946248916086094,1553.145871893279,1613.727925915302,1893.9265750457278,34.06026078898052
2023,5,배,1757.593000145658,2023-05-01,1519.1984241186012,0.156921289702737,2459.716821079236,-0.2854490463766115,1609.9042600333798,1655.8208852275059,1835.416256634596,129.0088446497823
2023,6,배,2185.735462187551,2023-06-01,1757.593000145658,0.24359590758862337,2769.7744518819013,-0.21086157008110518,1820.8422954839368,1754.190016349471,1786.7463408267333,337.73993071597124
2023,7,배,1977.209485734392,2023-07-01,2185.735462187551,-0.09540311719354178,2029.9825584614532,-0.02599681091203976,1973.512649355867,1763.3292606245732,1782.348584766145,214.09517019362133
2023,8,배,2459.7704175458293,2023-08-01,1977.209485734392,0.24406161071607468,2198.3533320800684,0.11891495404808738,2207.5717884892574,1908.7380242613187,1804.133341888292,242.0204166748154
2023,9,배,2821.6488519197283,2023-09-01,2459.7704175458293,0.14711878466078687,2112.832614293658,0.33548149192265053,2419.542918399983,2120.19260694196,1863.2013616904642,423.65451674273976
2023,10,배,2318.2184146487416,2023-10-01,2821.6488519197283,-0.17841711130301496,1474.091567260602,0.5726420706393662,2533.212561371433,2253.3626053636503,1933.5452656394762,259.6263905306894
2023,11,배,2780.707042125644,2023-11-01,2318.2184146487416,0.19950174865079706,1505.035244272434,0.8476026077847079,2640.1914362313714,2423.881612360314,2039.8512487939104,279.58724562754
2023,12,배,3264.5575043424255,2023-12-01,2780.707042125644,0.17400267445898,1595.5206754557598,1.0460765908971417,2787.827653705604,2603.6852860527933,2178.9376512011327,473.20972676237983
2024,1,배,4016.846077512882,2024-01-01,3264.5575043424255,0.2304412074744533,1922.3740200837806,1.0895237011878782,3354.0368746603176,2943.6247180158753,2353.476989320224,622.9083776819762
2024,2,배,4416.893333142126,2024-02-01,4016.846077512882,0.0995923786745998,1587.3178357253555,1.7826143156286913,3899.432304999145,3269.811870615258,2589.274947438288,585.0717571937715
2024,3,배,4926.56001774122,2024-03-01,4416.893333142126,0.11539030856253962,1552.921355835881,2.172446562877894,4453.433142798743,3620.630398252173,2870.4115025970664,455.9563921349849
2024,4,배,5307.327710843373,2024-04-01,4926.56001774122,0.07728875558827175,1519.1984241186012,2.4935052765885697,4883.59368724224,4118.8152809512785,3186.0889431574647,446.7694309321824
2024,5,배,5710.356615913947,2024-05-01,5307.327710843373,0.07593819847362138,1757.593000145658,2.2489641318784894,5314.748114832847,4607.090209915996,3515.485911138155,391.9509836998925
2024,6,배,7046.397467782049,2024-06-01,5710.356615913947,0.23396802366856506,2185.735462187551,2.223810744567322,6021.360598179789,5237.396870489266,3920.54107827103,910.2930915994026
2024,7,배,7031.665802905379,2024-07-01,7046.397467782049,-0.0020906661799915405,1977.209485734392,2.556358521258873,6596.139962200458,5739.866824721349,4341.745771368612,767.1462428418777
2024,8,배,2912.347878086174,2024-08-01,7031.665802905379,-0.5858239057830599,2459.7704175458293,0.18399174870632518,5663.470382924534,5489.10924887869,4379.460559746974,2382.553364136589
2024,9,배,2785.2835112349276,2024-09-01,2912.347878086174,-0.0436295292218819,2821.6488519197283,-0.012887975291489329,4243.0990640754935,5132.229831127642,4376.430114689907,2415.8051827521367
2024,10,배,2107.7932904984555,2024-10-01,2785.2835112349276,-0.24323923148350857,2318.2184146487416,-0.09077018921971158,2601.808226606519,4598.974094403488,4358.894687677383,432.5209892643594
2024,11,배,3177.4063698453224,2024-11-01,2107.7932904984555,0.5074563450640468,2780.707042125644,0.14266131660400694,2690.161057192902,4176.8157200587175,4391.952964987357,541.1138935794452
2024,12,배,3609.191090015519,2024-12-01,3177.4063698453224,0.1358921931635757,3264.5575043424255,0.10556823864020504,2964.796916786432,3603.947990430963,4420.672430460115,772.9494955986274
2020,1,포도,5858.313769184156,2020-01-01,,,,,,,,
2020,2,포도,5579.792396288407,2020-02-01,5858.313769184156,-0.04754292512647995,,,,,,
2020,3,포도,4228.1708589187965,2020-03-01,5579.792396288407,-0.24223509431438495,,,5222.092341463786,,,871.9538255482663
2020,4,포도,4513.012523665194,2020-04-01,4228.1708589187965,0.06736758618577565,,,4773.658592957466,,,712.511385978134
2020,6,포도,5729.492465732824,2020-06-01,4513.012523665194,0.2695494275029573,,,4823.558616105604,,,797.3837209394043
2020,7,포도,5345.840580224565,2020-07-01,5729.492465732824,-0.06696088489562013,,,5196.115189874195,5209.1037656689905,,621.9076553234369
2020,8,포도,3897.048989048625,2020-08-01,5345.840580224565,-0.27101286868436325,,,4990.794011668671,4882.226302313069,,966.4397669762482
2020,9,포도,5092.110049721356,2020-09-01,3897.048989048625,0.30665795170424004,,,4778.333206331515,4800.9459112185605,,773.6867578363336
2020,10,포도,5370.835250879757,2020-10-01,5092.110049721356,0.0547366805581222,,,4786.66476321658,4991.389976545387,,782.9330135308732
2020,11,포도,6070.975217511017,2020-11-01,5370.835250879757,0.13035960589492568,,,5511.30683937071,5251.050425519691,,504.32475108589625
2020,12,포도,6561.772243229801,2020-12-01,6070.975217511017,0.0808431937430969,,,6001.194237206859,5389.763721769187,,598.5271663392585
2021,1,포도,6877.998946405659,2021-01-01,6561.772243229801,0.04819227054125963,,,6503.582135715492,5645.123449466036,5427.113607567513,406.6465187471217
2021,2,포도,5896.936988827937,2021-02-01,6877.998946405659,-0.14263770105553886,5858.313769184156,0.0065928902352323515,6445.569392821133,5978.438116095921,5430.332209204495,500.74740936313134
2021,3,포도,4455.676418209188,2021-03-01,5896.936988827937,-0.24440833832026598,5579.792396288407,-0.20146197174413938,5743.537451147594,5872.365844177227,5336.655877697894,1218.4252834180868
2021,4,포도,4113.216731694503,2021-04-01,4455.676418209188,-0.07685919137106578,4228.1708589187965,-0.027187673123902245,4821.943379577209,5662.762757646352,5327.076367095869,946.5876104034763
2021,5,포도,4288.428324697755,2021-05-01,4113.216731694503,0.04259721877846934,4513.012523665194,-0.04976369947784798,4285.7738248671485,5365.67160884414,5308.3610171819155,171.24527438427373
2021,6,포도,6974.110031020354,2021-06-01,4288.428324697755,0.6262624679664861,5729.492465732824,0.21722998550593942,5125.251695804204,5434.394573475899,5412.079147622543,1603.5531276993472
2021,7,포도,7304.884348721808,2021-07-01,6974.110031020354,0.04742889289532193,5345.840580224565,0.3664613149415967,6189.140901479972,5505.5421405285915,5575.332794997314,1654.3530871510743
2021,8,포도,4957.018846124737,2021-08-01,7304.884348721808,-0.3214103592218944,3897.048989048625,0.27199295160384396,6412.0044086223,5348.889116744725,5663.663616420323,1270.861972292813
2021,9,포도,6319.456534197148,2021-09-01,4957.018846124737,0.27485021347811256,5092.110049721356,0.24102905720644308,6193.7865763478985,5659.519136076051,5765.942490126638,1178.9668393558513
2021,10,포도,5920.76541582079,2021-10-01,6319.456534197148,-0.06308946287056161,5370.835250879757,0.10239192588358637,5732.413598714225,5960.7772500971,5811.770003871726,700.4758516362533
2021,11,포도,7292.563119257728,2021-11-01,5920.76541582079,0.2316926287556298,6070.975217511017,0.20121773816885047,6510.928356425222,6461.466382523761,5913.5689956839515,705.6580820902018
2021,12,포도,7447.23088882157,2021-12-01,7292.563119257728,0.021208972350942767,6561.772243229801,0.13494199627324055,6886.85314130003,6540.319858823964,5987.357216149931,840.2229761954292
2022,1,포도,8805.30233060586,2022-01-01,7447.23088882157,0.18235925031178768,6877.998946405659,0.28021280596551734,7848.365446228386,6790.389522471305,6147.965831499948,832.3320733018871
2022,2,포도,5879.272404946136,2022-02-01,8805.30233060586,-0.332303175495667,5896.936988827937,-0.0029955524224301033,7377.268541457856,6944.098448941539,6146.493782843132,1464.2690425603307
2022,3,포도,5207.041083660281,2022-03-01,5879.272404946136,-0.11433920304837675,4455.676418209188,0.16863088674493087,6630.538606404093,6758.695873852062,6209.107504964057,1913.1575155766423
2022,4,포도,5413.3026539949215,2022-04-01,5207.041083660281,0.039612049726646115,4113.216731694503,0.31607522946276356,5499.8720475337805,6674.118746881082,6317.44799848909,344.3754234156281
2022,5,포도,5052.854797325748,2022-05-01,5413.3026539949215,-0.06658557256228215,4288.428324697755,0.17825329345614516,5224.399511660317,6300.834026559086,6381.150204541424,180.84980124766815
2022,6,포도,6211.890352344094,2022-06-01,5052.854797325748,0.22938231979905144,6974.110031020354,-0.10929275209108547,5559.349267888255,6094.943937146174,6317.6318979850685,593.1593921716578
2022,7,포도,10250.113538694437,2022-07-01,6211.890352344094,0.6500795985277645,7304.884348721808,0.4031862859660438,7171.6195627880925,6335.745805160936,6563.06766381612,2728.3116985084225
2022,8,포도,6691.082177838037,2022-08-01,10250.113538694437,-0.3472187256678638,4957.018846124737,0.34981979805643526,7717.695356292189,6471.047433976252,6707.572941458896,2206.1873423003294
2022,9,포도,5544.033594108611,2022-09-01,6691.082177838037,-0.17142945688645683,6319.456534197148,-0.12270405467501966,7495.076436880362,6527.2128523843085,6642.954363118185,2453.8953090215573
2022,10,포도,4572.911803251319,2022-10-01,5544.033594108611,-0.1751652067709797,5920.76541582079,-0.22764854168481174,5602.675858399322,6387.147710593707,6530.633228737395,1060.3021363342953
2022,11,포도,5995.91627443145,2022-11-01,4572.911803251319,0.3111812631436237,7292.563119257728,-0.17780399341380781,5370.953890597127,6544.324623444659,6422.579325001871,727.1195699988982
2022,12,포도,5363.600353371756,2022-12-01,5995.91627443145,-0.1054577636042211,7447.23088882157,-0.27978594548174707,5310.809477018175,6402.942956949269,6248.943447047721,712.9695566567335
2023,1,포도,5456.334696787895,2023-01-01,5363.600353371756,0.01728956993558306,8805.30233060586,-0.38033533751333837,5605.2837748637,5603.979816631511,5969.862810896223,341.46043240926286
2023,2,포도,5471.852530039462,2023-02-01,5456.334696787895,0.0028440031841709956,5879.272404946136,-0.06929766931090287,5430.595860066372,5400.774875331749,5935.911154654001,58.53630689718358
