MTC_NM,PDLT_NM,VOLUME_KG,rank
경북 청송군,양배추,1503912.8,2
경북 청송군,배추,1496331.9,3
경북 칠곡군,참외,15056804.95,1
경북 칠곡군,양파,4488871.5,2
경북 칠곡군,무,1309222.5,3
경북 포항시,사과,11058002.0,1
경북 포항시,수박,5980414.0,2
경북 포항시,부추,4900776.4,3
광주 광산구,양배추,4330863.0,1
광주 광산구,수박,3251720.0,2
광주 광산구,배,2692133.1,3
광주 남구,풋고추,5022640.6,1
광주 남구,양파,4643667.84,2
광주 남구,부추,4518553.0,3
광주 동구,양파,17532.0,1
광주 북구,양파,5592241.8,1
광주 북구,열무,4746773.0,2
광주 북구,배추,4560257.8,3
광주 서구,배추,8518330.0,1
광주 서구,수박,6793806.0,2
광주 서구,양파,6298970.0,3
대구 남구,봄동배추,45575.0,1
대구 달서구,배추,145480.2,1
대구 달서구,참외,129580.0,2
대구 달서구,오이,124012.4,3
대구 달성군,수박,18439895.3,1
대구 달성군,양파,12109760.0,2
대구 달성군,참외,6226394.0,3
대구 동구,복숭아,1594906.1,1
대구 동구,사과,1065666.8,2
대구 동구,살구,605131.0,3
대구 북구,무,5074834.0,1
대구 북구,배추,4835430.78,2
대구 북구,오이,3269428.0,3
대구 서구,양파,316593.0,1
대구 서구,무,24474.0,2
대구 서구,배추,17114.0,3
대구 수성구,양파,5583132.0,1
대구 수성구,단감,181008.3,2
대구 수성구,토마토,153800.0,3
대구 중구,사과,209263.5,1
대전 대덕구,수박,3278398.0,1
대전 대덕구,오이,1740928.0,2
대전 대덕구,감귤,1419973.5,3
대전 동구,수박,2572870.0,1
대전 동구,배,1191942.5,2
대전 동구,열무,869810.0,3
대전 서구,오이,1833695.0,1
대전 서구,토마토,222095.0,2
대전 서구,얼갈이배추,182328.0,3
대전 유성구,오이,9234037.5,1
대전 유성구,양파,4559862.0,2
대전 유성구,수박,1885163.0,3
대전 중구,알타리무,1214932.5,1
대전 중구,호박,621114.0,2
대전 중구,비름,460805.3,3
부산,대파,11640378.8,1
부산,양파,11080824.7,2
부산,고구마,8472451.0,3
부산 강서구,토마토,15886085.96,1
부산 강서구,대파,8678497.95,2
부산 강서구,호박,4817830.2,3
